run_order,family_id,prefix,new_filename,original_filename,status,role,purpose,direct_calls_or_reuses,upstream_dependency,primary_inputs,default_outputs,typical_run_command,notes
1,000,A,A000a_sample_5_tile_pairs_per_river_plus_focus.sh,A000a_sample_5_tile_pairs_per_river_plus_focus.sh,renamed existing code,optional QA,Sample paired tiles and focus IDs for visual inspection.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",Tiles_for_MAE Train_tile + LCC_Mask,VisualCheck directory + tar.gz,bash A000a_sample_5_tile_pairs_per_river_plus_focus.sh,
2,001,A,A001_make_bathy_lcc_split_trainval.py,A001_make_bathy_lcc_split_trainval.py,renamed existing code,split builder,Create random paired train/val lists for stage3 LCC training.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",bathymetry tiles + LCC masks,split txt/csv files,python A001_make_bathy_lcc_split_trainval.py,
3,001,B,B001_run_split_bathy_lcc_trainval.sh,B001_run_split_bathy_lcc_trainval.sh,renamed existing code,split driver,Run A001 on HPC.,A001_make_bathy_lcc_split_trainval.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",tile/mask roots,stage3 split directory,sbatch B001_run_split_bathy_lcc_trainval.sh,
4,001,C,C001_smoke_stage3_bathy_lcc_exact_decoder_fullnorm.sh,C001_smoke_stage3_bathy_lcc_exact_decoder_fullnorm.sh,renamed existing code,smoke training,Very short stage3 training test.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",stage3 split + upstream checkpoint,smoke run directory,sbatch C001_smoke_stage3_bathy_lcc_exact_decoder_fullnorm.sh,
5,001,C,C002_minitest_stage3_bathy_lcc_exact_decoder_fullnorm.sh,C002_minitest_stage3_bathy_lcc_exact_decoder_fullnorm.sh,renamed existing code,mini training,Small stage3 integration training test.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",stage3 split + upstream checkpoint,minitest run directory,sbatch C002_minitest_stage3_bathy_lcc_exact_decoder_fullnorm.sh,
6,001,D,D001_train_stage3_bathy_lcc_exact_decoder_fullnorm.sh,D001_train_stage3_bathy_lcc_exact_decoder_fullnorm.sh,renamed existing code,training,Formal stage3 LCC exact decoder/full normalization training.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",stage3 split + upstream checkpoint,stage3 run/checkpoints,sbatch D001_train_stage3_bathy_lcc_exact_decoder_fullnorm.sh,
7,001,E,E001_evaluate_stage3_lcc_exact_per_tile.py,E001_evaluate_stage3_lcc_exact_per_tile.py,renamed existing code,evaluation core,Per-tile exact evaluation for stage3.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",stage3 checkpoint + split,evaluation CSV/figures,python E001_evaluate_stage3_lcc_exact_per_tile.py,
8,001,E,E001a_eval_stage3_best_val_lcc_exact_per_tile.sh,E001a_eval_stage3_best_val_lcc_exact_per_tile.sh,renamed existing code,evaluation driver,Evaluate stage3 best checkpoint on validation tiles.,E001_evaluate_stage3_lcc_exact_per_tile.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D001 checkpoint + val lists,stage3 val evaluation,sbatch E001a_eval_stage3_best_val_lcc_exact_per_tile.sh,
9,001,E,E001b_eval_stage3_best_train_lcc_exact_per_tile.sh,E001b_eval_stage3_best_train_lcc_exact_per_tile.sh,renamed existing code,evaluation driver,Evaluate stage3 best checkpoint on training tiles.,E001_evaluate_stage3_lcc_exact_per_tile.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D001 checkpoint + train lists,stage3 train evaluation,sbatch E001b_eval_stage3_best_train_lcc_exact_per_tile.sh,
10,002,A,A002_make_bathy_lcc_split_by_river.py,A002_make_bathy_lcc_split_by_river.py,renamed existing code,split builder,Create river-holdout paired splits for stage4.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",bathymetry/LCC tiles,river holdout split,python A002_make_bathy_lcc_split_by_river.py,
